City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Port Alfred,ZA,69.01,-33.59,26.89,scattered clouds,The Halyards Hotel
1,Bluff,AU,74.39,-23.58,149.07,clear sky,Bluff Hotel
3,Mar Del Plata,AR,69.57,-46.43,-67.52,overcast clouds,Hotel Costanera Del Sur
7,Rikitea,PF,76.03,-23.12,-134.97,broken clouds,Pension Maro'i
8,Nuevo Casas Grandes,MX,63.88,30.42,-107.91,clear sky,Hotel Villa Colonial
9,Vera Cruz,BR,80.6,-12.96,-38.61,broken clouds,Ilha dos Corais
12,Samana,EC,89.6,0.12,-76.97,broken clouds,
14,Puerto Ayora,EC,84.2,-0.74,-90.35,scattered clouds,Finch Bay Galapagos Hotel
17,Ilheus,BR,82.4,-14.79,-39.05,few clouds,Pontal Praia Hotel
25,Touros,BR,82.4,-5.2,-35.46,scattered clouds,INN NEW HORIZON
29,Manadhoo,MV,82.06,5.77,73.38,clear sky,seashine guest house
33,Moche,PE,73.4,-8.17,-79.01,few clouds,Wyndham Costa del Sol Trujillo
35,Hithadhoo,MV,81.48,-0.6,73.08,overcast clouds,Scoop Guest House
37,Esperance,AU,64.4,-33.86,121.89,scattered clouds,Hospitality Esperance
41,Hermanus,ZA,64.0,-34.42,19.24,overcast clouds,Misty Waves Boutique Hotel
45,Same,TL,69.42,-9.0,125.65,overcast clouds,Hotel Samelau
46,Kimbe,PG,77.5,-5.56,150.15,overcast clouds,Kimbe Bay Hotel
47,Salta,AR,89.6,-24.79,-65.41,few clouds,Hotel Alejandro I
50,Necochea,AR,64.0,-38.55,-58.74,overcast clouds,dyd -mar Hotel
53,Australind,AU,60.01,-33.28,115.72,clear sky,Paris Road 5
55,Carnarvon,ZA,66.76,-30.97,22.13,few clouds,Maritza Bed & Breakfast
59,Cidreira,BR,74.61,-30.17,-50.22,clear sky,Pond Country Club
61,Gat,SN,75.2,14.69,-16.54,dust,
63,Chicama,PE,73.4,-7.84,-79.15,few clouds,Hospedaje Punta Cana PERU
64,Yangambi,CD,70.2,0.77,24.47,overcast clouds,
66,Bambous Virieux,MU,73.4,-20.34,57.76,heavy intensity rain,Casa Tia Villa
68,Muisne,EC,78.8,0.61,-80.02,shower rain,Quinta Samay
70,Touba,SN,75.2,14.86,-15.88,clear sky,RESIDENCE SERIGNE ISSAKHA BACHIR
75,Tomohon,ID,75.2,1.33,124.84,few clouds,Gardenia Country Inn
76,Guerrero Negro,MX,72.99,27.97,-114.04,clear sky,The Halfway Inn
78,San Cristobal,HN,69.13,14.68,-86.92,overcast clouds,
81,Bredasdorp,ZA,66.2,-34.53,20.04,overcast clouds,Bredasdorp Country Manor
83,Cape Town,ZA,66.99,-33.93,18.42,broken clouds,Southern Sun Waterfront Cape Town
85,Codrington,AU,78.01,-28.95,153.24,broken clouds,
86,Itaituba,BR,84.2,-4.26,-55.99,shower rain,Hotel Campos
87,Georgetown,GY,84.2,6.8,-58.16,clear sky,Kanhai's Center
90,Faanui,PF,81.57,-16.48,-151.75,scattered clouds,Bora-Bora Pearl Beach Resort & Spa
94,San Vicente,EC,78.8,-0.59,-80.41,broken clouds,La Piedra Hotel
96,Mitsamiouli,KM,82.4,-11.38,43.28,broken clouds,Foyer ADM
100,Chuy,UY,75.31,-33.69,-53.46,clear sky,Nuevo Hotel Plaza
101,Naze,NG,75.2,5.43,7.07,dust,Female Hostel C
102,Atuona,PF,80.56,-9.8,-139.03,clear sky,Villa Enata
103,Buala,SB,82.31,-8.15,159.59,broken clouds,Maringe Lagoon Lodge
108,Tacuati,PY,89.78,-23.46,-56.74,overcast clouds,Fundassa Tacuatí
109,Victoria,BN,80.6,5.28,115.24,broken clouds,Tiara Labuan Hotel
110,Port Lincoln,AU,61.3,-34.72,135.86,broken clouds,Port Lincoln Hotel
113,New Norfolk,AU,64.0,-42.78,147.06,few clouds,The Shingles Riverside Cottages
114,Horta,BR,82.4,-10.93,-37.66,few clouds,Pousada Cota
