City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
2,Mataura,NZ,52.0,-46.19,168.86,light rain,Ellie's Villa
6,Kruisfontein,ZA,65.17,-34.0,24.73,light rain,Oyster Bay House Rental
15,Okahandja,,66.2,-21.98,16.91,light rain,Sylvanette Guesthouse
82,Kaitangata,NZ,53.01,-46.28,169.85,light rain,Kaitangata Motor Camp
98,Jamestown,AU,56.25,-33.21,138.6,light rain,Jamestown Motel Terraces
168,Tucuman,PE,63.12,-17.17,-70.89,light rain,El Mirador
224,Bam,IR,56.07,29.11,58.36,moderate rain,Bam Tourist Hotel
246,Wamba,CD,66.61,2.14,27.99,light rain,
273,Grootfontein,,65.53,-19.56,18.1,moderate rain,Beyer Self-Catering (Accomodation Grootfontein Namibia)
318,Dunedin,NZ,54.0,-45.87,170.5,light rain,Scenic Hotel Southern Cross
375,Kaeo,NZ,66.99,-35.1,173.78,light rain,Bushido Lodge
392,Popondetta,PG,67.39,-8.77,148.24,moderate rain,Comfort Inn
397,Ialibu,PG,60.98,-6.28,143.99,light rain,Kagena-Yapu Homes
403,Pasighat,IN,53.76,28.06,95.33,light rain,Siang Guest House
412,Tuatapere,NZ,53.01,-46.13,167.69,light rain,Ron and Tony's Bed & Breakfast
418,Knysna,ZA,66.2,-34.04,23.05,light rain,Protea Hotel by Marriott Knysna Quays
426,Ulladulla,AU,64.99,-35.36,150.48,light rain,Sandpiper Motel
462,Manyana,AU,70.0,-35.26,150.51,light rain,Ingenia Holidays Lake Conjola
464,Wonthaggi,AU,57.0,-38.6,145.59,light rain,Wonthaggi Caravans & Trailers
494,Shakawe,BW,68.76,-18.36,21.84,light rain,Delta Belle Boat House
505,Cavalcante,BR,68.2,-13.79,-47.46,light rain,Pousada Vila dos Ipês
549,Kasongo,CD,69.91,-4.43,26.67,moderate rain,Palace hotel
