City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Thompson,CA,2020-01-05 09:28:52,55.74,-97.86,6.8,84,90,6.93,light snow,0.0,0.0
1,Vaini,IN,2020-01-05 09:28:52,15.34,74.49,84.2,42,40,6.93,scattered clouds,0.0,0.0
2,Bluff,AU,2020-01-05 09:28:52,-23.58,149.07,83.59,50,55,14.16,broken clouds,0.0,0.0
3,Khatanga,RU,2020-01-05 09:28:52,71.98,102.47,-20.36,88,0,9.13,clear sky,0.0,0.0
4,Peniche,PT,2020-01-05 09:21:11,39.36,-9.38,54.0,87,0,4.7,clear sky,0.0,0.0
5,Chokurdakh,RU,2020-01-05 09:28:53,70.62,147.9,-16.71,95,0,8.93,clear sky,0.0,0.0
6,Arawa,ID,2020-01-05 09:28:53,-3.93,119.75,85.08,67,100,7.85,overcast clouds,0.0,0.0
7,Cape Town,ZA,2020-01-05 09:28:53,-33.93,18.42,72.0,64,40,16.11,scattered clouds,0.0,0.0
8,Jamestown,AU,2020-01-05 09:27:40,-33.21,138.6,55.15,83,100,11.7,light rain,0.81,0.0
9,Hithadhoo,MV,2020-01-05 09:28:54,-0.6,73.08,84.61,68,64,8.01,broken clouds,0.0,0.0
10,Codrington,AU,2020-01-05 09:28:54,-28.95,153.24,80.6,65,0,8.05,clear sky,0.0,0.0
11,Ushuaia,AR,2020-01-05 09:28:54,-54.81,-68.31,50.0,57,40,17.22,scattered clouds,0.0,0.0
12,San Patricio,PY,2020-01-05 09:28:54,-26.98,-56.83,67.5,79,0,0.76,clear sky,0.0,0.0
13,Kapaa,US,2020-01-05 09:28:55,22.08,-159.32,75.2,88,90,18.34,overcast clouds,0.0,0.0
14,Tutoia,BR,2020-01-05 09:28:55,-2.76,-42.27,72.88,95,94,3.36,overcast clouds,0.0,0.0
15,Mataura,NZ,2020-01-05 09:28:55,-46.19,168.86,52.0,70,28,13.0,scattered clouds,0.0,0.0
16,Sitka,US,2020-01-05 09:28:48,37.17,-99.65,39.0,66,41,8.99,scattered clouds,0.0,0.0
17,Mayo,CA,2020-01-05 09:28:56,63.59,-135.9,-16.6,68,20,10.29,few clouds,0.0,0.0
18,Nikolskoye,RU,2020-01-05 09:20:06,59.7,30.79,32.0,78,75,15.66,broken clouds,0.0,0.0
19,Bilibino,RU,2020-01-05 09:28:56,68.06,166.44,-6.68,60,0,2.26,clear sky,0.0,0.0
20,Los Llanos De Aridane,ES,2020-01-05 09:28:57,28.66,-17.92,66.2,59,75,8.05,broken clouds,0.0,0.0
21,Atuona,PF,2020-01-05 09:28:57,-9.8,-139.03,79.95,74,0,6.82,light rain,0.25,0.0
22,Rikitea,PF,2020-01-05 09:28:57,-23.12,-134.97,75.65,74,55,17.2,broken clouds,0.0,0.0
23,Punta Arenas,CL,2020-01-05 09:28:57,-53.16,-70.91,46.4,87,90,8.05,light rain,0.0,0.0
24,Port Elizabeth,US,2020-01-05 09:28:58,39.31,-74.98,42.01,55,90,14.99,overcast clouds,0.0,0.0
25,Albany,US,2020-01-05 09:28:58,42.65,-73.75,35.6,59,90,19.46,overcast clouds,0.0,0.0
26,Bredasdorp,ZA,2020-01-05 09:28:58,-34.53,20.04,82.4,37,100,12.75,overcast clouds,0.0,0.0
27,Hilo,US,2020-01-05 09:28:57,19.71,-155.08,69.8,83,75,5.82,broken clouds,0.0,0.0
28,Barrow,AR,2020-01-05 09:28:59,-38.31,-60.23,62.24,95,95,5.46,light rain,0.81,0.0
